"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 02:44:05 UTC 2024","Tue Feb 20 02:44:14 UTC 2024","8446","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Tue Feb 20 03:47:41 UTC 2024","Tue Feb 20 03:47:46 UTC 2024","4306","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Tue Feb 20 02:53:39 UTC 2024","Tue Feb 20 02:53:41 UTC 2024","1710","","6. Company Account","","","","6. Review Review Page",""
"passed","Tue Feb 20 02:49:52 UTC 2024","Tue Feb 20 02:50:08 UTC 2024","16239","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Feb 20 04:19:38 UTC 2024","Tue Feb 20 04:19:56 UTC 2024","18740","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Tue Feb 20 02:37:57 UTC 2024","Tue Feb 20 02:37:57 UTC 2024","169","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Tue Feb 20 04:21:16 UTC 2024","Tue Feb 20 04:21:56 UTC 2024","39578","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Tue Feb 20 04:29:58 UTC 2024","Tue Feb 20 04:30:01 UTC 2024","2947","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Feb 20 03:04:31 UTC 2024","Tue Feb 20 03:04:57 UTC 2024","25647","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Tue Feb 20 03:36:27 UTC 2024","Tue Feb 20 03:36:30 UTC 2024","2624","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Feb 20 02:36:06 UTC 2024","Tue Feb 20 02:36:27 UTC 2024","20469","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Feb 20 02:44:14 UTC 2024","Tue Feb 20 02:44:19 UTC 2024","5139","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Feb 20 03:49:36 UTC 2024","Tue Feb 20 03:49:37 UTC 2024","314","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Tue Feb 20 03:40:55 UTC 2024","Tue Feb 20 03:45:06 UTC 2024","251362","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Feb 20 03:51:26 UTC 2024","Tue Feb 20 03:51:45 UTC 2024","19378","","21. Forgot password function","","","","2. Reset password",""
"passed","Tue Feb 20 04:18:41 UTC 2024","Tue Feb 20 04:19:06 UTC 2024","24809","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Feb 20 04:21:09 UTC 2024","Tue Feb 20 04:21:14 UTC 2024","5369","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Tue Feb 20 03:05:00 UTC 2024","Tue Feb 20 03:05:12 UTC 2024","11384","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Tue Feb 20 02:45:54 UTC 2024","Tue Feb 20 02:45:56 UTC 2024","2672","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Feb 20 03:36:00 UTC 2024","Tue Feb 20 03:36:15 UTC 2024","14351","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Feb 20 02:46:58 UTC 2024","Tue Feb 20 02:47:00 UTC 2024","2427","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Feb 20 02:50:09 UTC 2024","Tue Feb 20 02:50:16 UTC 2024","7238","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Tue Feb 20 02:29:53 UTC 2024","Tue Feb 20 02:30:03 UTC 2024","9515","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Tue Feb 20 04:21:14 UTC 2024","Tue Feb 20 04:21:16 UTC 2024","1791","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Tue Feb 20 03:33:50 UTC 2024","Tue Feb 20 03:34:32 UTC 2024","42528","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Feb 20 02:46:51 UTC 2024","Tue Feb 20 02:46:53 UTC 2024","2308","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Tue Feb 20 04:29:43 UTC 2024","Tue Feb 20 04:29:54 UTC 2024","10957","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Tue Feb 20 03:04:59 UTC 2024","Tue Feb 20 03:05:00 UTC 2024","1245","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"skipped","Tue Feb 20 02:29:06 UTC 2024","Tue Feb 20 02:29:06 UTC 2024","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Tue Feb 20 02:38:04 UTC 2024","Tue Feb 20 02:38:05 UTC 2024","544","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Feb 20 02:58:14 UTC 2024","Tue Feb 20 02:58:30 UTC 2024","16387","","9. Client Portal - Home","","","","1. Check links",""
"passed","Tue Feb 20 02:53:52 UTC 2024","Tue Feb 20 02:53:53 UTC 2024","343","","6. Company Account","","","","9. Review Final Review",""
"passed","Tue Feb 20 02:44:19 UTC 2024","Tue Feb 20 02:44:38 UTC 2024","19094","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Feb 20 03:36:24 UTC 2024","Tue Feb 20 03:36:27 UTC 2024","3267","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Tue Feb 20 02:52:46 UTC 2024","Tue Feb 20 02:53:02 UTC 2024","15806","","6. Company Account","","","","1. Validate login credentials",""
"passed","Tue Feb 20 02:53:15 UTC 2024","Tue Feb 20 02:53:25 UTC 2024","10189","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Tue Feb 20 02:41:55 UTC 2024","Tue Feb 20 02:42:08 UTC 2024","12753","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Tue Feb 20 02:53:25 UTC 2024","Tue Feb 20 02:53:29 UTC 2024","3584","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Tue Feb 20 03:40:39 UTC 2024","Tue Feb 20 03:40:55 UTC 2024","16192","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Tue Feb 20 02:53:11 UTC 2024","Tue Feb 20 02:53:15 UTC 2024","4253","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Tue Feb 20 04:19:56 UTC 2024","Tue Feb 20 04:21:05 UTC 2024","68037","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Feb 20 04:30:01 UTC 2024","Tue Feb 20 04:30:08 UTC 2024","7590","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Tue Feb 20 02:35:35 UTC 2024","Tue Feb 20 02:35:52 UTC 2024","16436","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Feb 20 03:31:05 UTC 2024","Tue Feb 20 03:31:07 UTC 2024","1612","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Tue Feb 20 02:42:08 UTC 2024","Tue Feb 20 02:42:10 UTC 2024","2000","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Feb 20 04:17:29 UTC 2024","Tue Feb 20 04:17:44 UTC 2024","14678","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Tue Feb 20 02:50:21 UTC 2024","Tue Feb 20 02:50:31 UTC 2024","10284","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Tue Feb 20 02:36:34 UTC 2024","Tue Feb 20 02:36:41 UTC 2024","7524","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Tue Feb 20 02:50:31 UTC 2024","Tue Feb 20 02:50:35 UTC 2024","4176","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Feb 20 03:47:15 UTC 2024","Tue Feb 20 03:47:29 UTC 2024","14244","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue Feb 20 03:09:30 UTC 2024","Tue Feb 20 03:09:32 UTC 2024","1396","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue Feb 20 03:36:32 UTC 2024","Tue Feb 20 03:36:46 UTC 2024","13744","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Feb 20 03:07:11 UTC 2024","Tue Feb 20 03:07:25 UTC 2024","14276","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Feb 20 04:19:10 UTC 2024","Tue Feb 20 04:19:14 UTC 2024","4181","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Tue Feb 20 02:39:45 UTC 2024","Tue Feb 20 02:40:01 UTC 2024","16074","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Feb 20 04:18:22 UTC 2024","Tue Feb 20 04:18:22 UTC 2024","15","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Tue Feb 20 04:30:31 UTC 2024","Tue Feb 20 04:30:32 UTC 2024","1313","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Feb 20 04:29:55 UTC 2024","Tue Feb 20 04:29:58 UTC 2024","2713","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Feb 20 03:30:28 UTC 2024","Tue Feb 20 03:30:39 UTC 2024","11294","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Tue Feb 20 03:07:27 UTC 2024","Tue Feb 20 03:07:27 UTC 2024","237","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Tue Feb 20 02:37:54 UTC 2024","Tue Feb 20 02:37:57 UTC 2024","3091","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Tue Feb 20 02:43:51 UTC 2024","Tue Feb 20 02:44:05 UTC 2024","13887","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Feb 20 02:46:53 UTC 2024","Tue Feb 20 02:46:58 UTC 2024","4697","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Tue Feb 20 02:32:29 UTC 2024","Tue Feb 20 02:32:35 UTC 2024","5301","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Tue Feb 20 03:30:41 UTC 2024","Tue Feb 20 03:30:44 UTC 2024","2776","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
